iter	Passed	Remaining
343	14305	27281
344	14342	27229
345	14381	27182
346	14422	27141
347	14460	27092
348	14498	27044
349	14537	26998
350	14572	26944
351	14606	26888
352	14644	26842
353	14680	26790
354	14714	26735
355	14749	26681
356	14789	26636
357	14825	26585
358	14865	26543
359	14905	26499
360	14945	26455
361	14984	26408
362	15024	26365
363	15070	26332
364	15107	26283
365	15143	26231
366	15178	26179
367	15212	26126
368	15249	26076
369	15287	26029
370	15322	25978
371	15359	25929
372	15393	25876
373	15428	25824
374	15464	25774
375	15502	25728
376	15550	25697
377	15600	25670
378	15640	25627
379	15677	25578
380	15719	25538
381	15764	25504
382	15816	25480
383	15867	25453
384	15914	25422
385	15963	25392
386	16013	25364
387	16064	25339
388	16113	25309
389	16165	25285
390	16207	25244
391	16249	25203
392	16289	25159
393	16327	25112
394	16371	25075
395	16408	25027
396	16450	24986
397	16488	24939
398	16527	24894
399	16568	24852
400	16609	24810
